EdLevel,YearsCodePro,DevType,Country,LanguageHaveWorkedWith,ConvertedCompYearly
"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",1,Data scientist or machine learning specialist,Pakistan,Assembly;Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;Python;R;SQL;TypeScript,7322.0
"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",6,Academic researcher,Austria,C;C++;Fortran;MATLAB;Python;SQL,30074.0
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6,Data scientist or machine learning specialist,Turkey,JavaScript;Julia;Python;SQL;TypeScript,91295.0
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",17,"Developer, back-end",France,Python,53703.0
Some college/university study without earning a degree,7,Student,United States of America,HTML/CSS;JavaScript;Python;SQL;TypeScript,110000.0
"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",18,Engineering manager,United Kingdom of Great Britain and Northern Ireland,C#;HTML/CSS;Java;JavaScript;MicroPython;Python;TypeScript,161044.0
Some college/university study without earning a degree,30,"Developer, full-stack",United States of America,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,195000.0
Some college/university study without earning a degree,20,"Developer, full-stack",Bulgaria,Bash/Shell (all shells);C;Python,44586.0
"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",50,Academic researcher,France,HTML/CSS;Python;SQL,57999.0
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",27,"Developer, back-end",United Kingdom of Great Britain and Northern Ireland,Bash/Shell (all shells);C;C++;Groovy;HTML/CSS;Java;JavaScript,184712.0
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",16,"Developer, full-stack",Greece,Java;JavaScript;Python,79481.0
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",17,"Developer, back-end",Brazil,Bash/Shell (all shells);Elixir;JavaScript;TypeScript,170000.0
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1,Academic researcher,Germany,C++;Rust,29000.0
Some college/university study without earning a degree,4,"Developer, full-stack",Italy,Bash/Shell (all shells);C#;Dart;JavaScript;Python;Rust;TypeScript,66592.0
